PC1,PC2,PC3
-0.14269897,0.13083264,-0.018122602
-0.12523068,0.10911688,-0.02748436
-0.111741796,0.08418954,-0.034523506
-0.10094173,0.054871712,-0.038796976
-0.091885135,0.020849517,-0.040409278
-0.08387268,-0.016628493,-0.039612394
-0.076435424,-0.054840203,-0.036527522
-0.069319576,-0.09034242,-0.031077575
-0.062349394,-0.11997345,-0.023096176
-0.05526451,-0.14169042,-0.012507361
-0.047729883,-0.15508865,0.00052722497
-0.039513145,-0.16156127,0.015578477
-0.03062063,-0.16397993,0.03208251
-0.021240577,-0.16590042,0.049549658
-0.011504549,-0.17058077,0.067646
-0.0011497907,-0.1802267,0.08603562
0.0108586615,-0.19572172,0.10409181
0.026727682,-0.21669796,0.12069832
0.050210144,-0.24148571,0.13429508
0.086618975,-0.26626915,0.14326572
0.14176255,-0.28320795,0.14655508
0.21922961,-0.278885,0.14394276
0.31715626,-0.23636168,0.1351679
0.42790797,-0.14220259,0.118262544
0.5428379,0.0064965035,0.08830648
-0.57862216,-0.005452368,-0.12692653
-0.512047,0.04124771,-0.07746911
-0.44794634,0.08682302,-0.039236207
-0.3880787,0.12436326,-0.0106259575
-0.33403796,0.14924116,0.008576047
-0.28704947,0.16068497,0.01861628
-0.24752773,0.16103335,0.020675397
-0.21487308,0.15369546,0.016866233
-0.18778516,0.14113174,0.009692954
-0.16482943,0.12383061,0.001438753
-0.14486934,0.10049514,-0.0062661013
-0.12720545,0.069219634,-0.012601263
-0.11141696,0.029201401,-0.017441986
-0.09722384,-0.017831309,-0.021011226
-0.08451163,-0.06757353,-0.023462353
-0.07331832,-0.11467955,-0.024605189
-0.06354265,-0.1546719,-0.02387435
-0.054675546,-0.18497409,-0.020498542
-0.045965534,-0.20510525,-0.013823375
-0.03681213,-0.2165788,-0.0036807992
-0.026941141,-0.22250071,0.009473538
-0.016263103,-0.22671705,0.024787687
-0.004575535,-0.2327254,0.041364226
0.008753653,-0.24282181,0.058420673
0.02507256,-0.257754,0.075204805
0.046630196,-0.27667418,0.09086079
0.07659488,-0.2969473,0.10442585
0.118667066,-0.3135174,0.115004845
0.17608614,-0.31811866,0.12191525
0.25011474,-0.29930815,0.12444862
0.33880746,-0.24439877,0.12118081
0.43736896,-0.14331846,0.109462604
0.5403842,0.006828928,0.08533707
-0.58096236,-0.005135314,-0.1297586
-0.5240072,0.032380182,-0.08354913
-0.47053,0.07029842,-0.045501594
-0.42157298,0.10342642,-0.014474402
-0.3774314,0.12847206,0.009892858
-0.33785796,0.14438687,0.027529547
-0.30224398,0.15181762,0.03850733
-0.26974767,0.15215203,0.04340707
-0.23946892,0.14645272,0.04334451
-0.21070638,0.13455129,0.039749265
-0.18319722,0.11460488,0.034025464
-0.15715091,0.08380178,0.0272088
-0.1330151,0.04039566,0.01977856
-0.11123983,-0.0137050925,0.011792303
-0.09232161,-0.07256147,0.0033142378
-0.07673528,-0.12904415,-0.0051803538
-0.064392366,-0.17814212,-0.012675506
-0.054327358,-0.21780725,-0.017743686
-0.045195684,-0.24799435,-0.018924236
-0.035919983,-0.2698462,-0.015324104
-0.025819007,-0.2854443,-0.0070544165
-0.014367737,-0.29756147,0.0048646834
-0.00091654406,-0.30902982,0.018999185
0.015504397,-0.32186863,0.034017004
0.036321063,-0.33658215,0.048950396
0.06336386,-0.3518797,0.06319794
0.098736964,-0.3645741,0.07640008
0.14448248,-0.36954755,0.08825784
0.20213008,-0.35970464,0.09825068
0.27216893,-0.3261095,0.10522567
0.35357895,-0.2587529,0.10705242
0.4437213,-0.14879256,0.100765996
0.5387115,0.0070555485,0.083312795
-0.5827974,-0.0048867185,-0.1319792
-0.5345008,0.02717765,-0.092093006
-0.49072245,0.058547385,-0.055504836
-0.4514807,0.08607428,-0.022575246
-0.41602987,0.10806498,0.0064774537
-0.38322374,0.12400082,0.031249287
-0.35179317,0.13411522,0.05118891
-0.32057965,0.13891704,0.065822184
-0.28873542,0.13862503,0.07496572
-0.2559077,0.1324534,0.078828245
-0.222385,0.11793917,0.077947855
-0.18906014,0.09117886,0.07297533
-0.15716995,0.049141947,0.06445189
-0.1279904,-0.006543376,0.052832067
-0.1028518,-0.06860002,0.038810812
-0.082857475,-0.1284091,0.023601415
-0.06800678,-0.18106246,0.008891517
-0.056926005,-0.22592267,-0.003403965
-0.047791053,-0.26417872,-0.011463804
-0.039162684,-0.2970284,-0.01404368
-0.02998556,-0.32526794,-0.0109220585
-0.019218313,-0.34957197,-0.003008333
-0.005589934,-0.3707367,0.007990205
0.012425818,-0.38948688,0.020191928
0.036520965,-0.40584302,0.032167714
0.0682746,-0.4185076,0.043319315
0.10888451,-0.4245677,0.0538739
0.15892935,-0.41961172,0.064471595
0.2184282,-0.3979019,0.075399406
0.28707343,-0.35230002,0.0857297
0.36426532,-0.27432817,0.0928288
0.44866645,-0.15576327,0.09274275
0.53755337,0.0072124423,0.08191133
-0.5838273,-0.00474719,-0.13322555
-0.5391824,0.02707328,-0.10341583
-0.5001664,0.055230785,-0.07072854
-0.46611533,0.078115806,-0.037245464
-0.43577698,0.09536688,-0.0043266914
-0.40770587,0.10737426,0.026807465
-0.3803918,0.11498401,0.054919872
-0.35238037,0.11913441,0.0788104
-0.32246807,0.12031007,0.097429775
-0.28995728,0.11776931,0.109971456
-0.25490952,0.10867828,0.115889415
-0.21821357,0.08815238,0.11487777
-0.18142109,0.051746167,0.106933616
-0.14649968,0.00029211375,0.0926674
-0.1157491,-0.05829862,0.07362905
-0.091148145,-0.11437951,0.052226365
-0.07304385,-0.16318938,0.031211251
-0.059960347,-0.205359,0.013123366
-0.04993314,-0.24346945,-2.268256e-05
-0.04152352,-0.27960885,-0.006948292
-0.033723317,-0.31470707,-0.0073226504
-0.025408452,-0.34864193,-0.0018683184
-0.014929324,-0.38055432,0.007704407
-7.0404794e-06,-0.40920427,0.019038284
0.022060554,-0.43309644,0.029797612
0.05387921,-0.4502408,0.03842457
0.09722568,-0.45764104,0.04488098
0.15236256,-0.450979,0.050737638
0.21785091,-0.42470208,0.05823759
0.29116845,-0.37236622,0.068365864
0.3698458,-0.28698957,0.07900556
0.45217487,-0.16186981,0.084928624
0.53676414,0.0073193633,0.08095625
-0.5839098,-0.0047360007,-0.13332549
-0.53408283,0.033921074,-0.11597027
-0.4906987,0.06556585,-0.08990194
-0.4536438,0.08866018,-0.058326267
-0.42248142,0.10305301,-0.023628486
-0.39631233,0.10975637,0.012071146
-0.37355837,0.110743515,0.04680143
-0.35203657,0.10842872,0.07874406
-0.32935163,0.10481875,0.10621896
-0.30346656,0.100387245,0.12762779
-0.27324712,0.09289816,0.14137363
-0.23877831,0.07717191,0.14590046
-0.20135465,0.047685046,0.14013803
-0.16338755,0.00401071,0.12437802
-0.12821496,-0.046558317,0.1008292
-0.09894146,-0.094489396,0.07313783
-0.076597326,-0.13545446,0.045278873
-0.059962112,-0.1708869,0.020693962
-0.047217652,-0.20400481,0.001990467
-0.03717163,-0.23722643,-0.009133252
-0.029196616,-0.27175087,-0.012028111
-0.022631444,-0.30779868,-0.007231664
-0.016223425,-0.34476033,0.003564086
